,Burn_Value,EVT_Value,freq,EVT_Name,EVT_PHYS,EVT_Fuel_N,acres
119,7,7238,34,Laurentian-Acadian Northern Oak Forest,Hardwood,Tr Laurentian-Acadian Northern Oak Forest,0.008401285
120,7,7239,28,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Tr Laurentian-Acadian Northern Pine-Oak Forest,0.006918705
121,7,7240,23,Laurentian-Acadian Hardwood Forest,Hardwood,Tr Laurentian-Acadian Hardwood Forest,0.005683222
122,7,7241,109,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,0.026933531
123,7,7242,1,Laurentian Oak Barrens,Hardwood,Tr Laurentian Oak Barrens,0.000247097
124,7,7296,5,Developed-Low Intensity,Developed-Low Intensity,Bau Developed-Low Intensity,0.001235483
125,7,7301,199,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,Tr Boreal Aspen-Birch Forest,0.049172226
126,7,7302,1445,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Tr Laurentian-Acadian Northern Hardwoods Forest,0.357054608
127,7,7362,48,Laurentian-Acadian Northern Pine Forest,Conifer,Tr Laurentian-Acadian Northern Pine Forest,0.011860638
128,7,7366,282,Laurentian-Acadian Pine-Hemlock Forest,Conifer,Tr Laurentian-Acadian Pine-Hemlock Forest,0.069681245
129,7,7407,2,Laurentian Pine Barrens,Conifer,Tr Laurentian Pine Barrens,0.000494193
130,7,7481,356,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,0.087966395
131,7,7905,57,Eastern Cool Temperate Urban Deciduous Forest,Developed,Dtd Urban Deciduous Forest,0.014084507
132,7,7906,55,Eastern Cool Temperate Urban Evergreen Forest,Developed,Dtc Urban Evergreen Forest,0.013590314
133,7,7907,59,Eastern Cool Temperate Urban Mixed Forest,Developed,Dtm Urban Mixed Deciduous-Evergreen Forest,0.0145787
134,7,7908,1,Eastern Cool Temperate Urban Herbaceous,Developed,Dgr Urban Herbaceous,0.000247097
135,7,7909,12,Eastern Cool Temperate Urban Shrubland,Developed,Dsh Urban Shrubland,0.002965159
136,7,9055,1,Boreal-Laurentian Bog,Riparian,Tr Boreal Acidic Peatland Systems,0.000247097
137,7,9056,242,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Tr Boreal Acidic Peatland Systems,0.059797381
138,7,9088,1,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,Tr Boreal Jack Pine-Black Spruce Forest,0.000247097
139,7,9089,398,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,Tr Boreal White Spruce-Fir Forest,0.098344453
140,7,9112,1224,Laurentian Jack Pine-Red Pine Forest,Conifer,Tr Laurentian Jack Pine-Red Pine Forest,0.302446256
141,7,9117,3,Laurentian-Acadian Floodplain Forest,Riparian,Tr Laurentian-Acadian Floodplain Systems,0.00074129
142,7,9118,3,Laurentian-Acadian Freshwater Marsh,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.00074129
143,7,9312,489,Northeastern North American Temperate Forest Plantation,Conifer,Tr Northeastern North American Temperate Forest Plantation,0.120830245
144,7,9315,23,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Tr Northern & Central Native Ruderal Forest,0.005683222
145,7,9317,5,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Sh Northern & Central Ruderal Meadow & Shrubland,0.001235483
146,7,9817,63,Northern & Central Ruderal Meadow,Exotic Herbaceous,Sh Northern & Central Ruderal Meadow & Shrubland,0.015567087
147,8,7191,62,Recently Logged-Herb and Grass Cover,Grassland,He Recently Logged-Herb and Grass Cover,0.01531999
148,8,7192,15,Recently Logged-Shrub Cover,Shrubland,Sh Recently Logged-Shrub Cover,0.003706449
149,8,7193,34,Recently Logged-Tree Cover,Conifer,Tr Recently Logged-Tree Cover,0.008401285
150,8,7195,9,Recently Burned-Herb and Grass Cover,Grassland,He Recently Burned-Herb and Grass Cover,0.00222387
151,8,7196,7,Recently Burned-Shrub Cover,Shrubland,Sh Recently Burned-Shrub Cover,0.001729676
152,8,7198,2,Recently Disturbed Other-Herb and Grass Cover,Grassland,He Recently Disturbed-Herb and Grass Cover,0.000494193
153,8,7200,14,Recently Disturbed Other-Tree Cover,Conifer,Tr Recently Disturbed-Tree Cover,0.003459353
154,8,7238,40,Laurentian-Acadian Northern Oak Forest,Hardwood,Tr Laurentian-Acadian Northern Oak Forest,0.009883865
155,8,7239,49,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Tr Laurentian-Acadian Northern Pine-Oak Forest,0.012107734
156,8,7240,39,Laurentian-Acadian Hardwood Forest,Hardwood,Tr Laurentian-Acadian Hardwood Forest,0.009636768
157,8,7241,147,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,0.036323202
158,8,7242,2,Laurentian Oak Barrens,Hardwood,Tr Laurentian Oak Barrens,0.000494193
159,8,7292,1,Open Water,Open Water,Ba Open Water,0.000247097
160,8,7296,9,Developed-Low Intensity,Developed-Low Intensity,Bau Developed-Low Intensity,0.00222387
161,8,7297,3,Developed-Medium Intensity,Developed-Medium Intensity,Bau Developed-Medium Intensity,0.00074129
162,8,7301,303,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,Tr Boreal Aspen-Birch Forest,0.074870274
163,8,7302,2072,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Tr Laurentian-Acadian Northern Hardwoods Forest,0.511984186
164,8,7362,85,Laurentian-Acadian Northern Pine Forest,Conifer,Tr Laurentian-Acadian Northern Pine Forest,0.021003212
165,8,7366,440,Laurentian-Acadian Pine-Hemlock Forest,Conifer,Tr Laurentian-Acadian Pine-Hemlock Forest,0.108722511
166,8,7407,1,Laurentian Pine Barrens,Conifer,Tr Laurentian Pine Barrens,0.000247097
167,8,7481,838,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,0.207066963
168,8,7905,53,Eastern Cool Temperate Urban Deciduous Forest,Developed,Dtd Urban Deciduous Forest,0.013096121
